group,time,att_diffdiff,se_traditional,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,se_ratio_hac_to_traditional,ci_low_traditional,ci_high_traditional,ci_low_spatial_hac,ci_high_spatial_hac,t_traditional,t_spatial_hac,p_traditional,p_spatial_hac,sig_traditional,sig_spatial_hac
2002,2002,-28.803935002160657,21.890666341231793,0,-28.803935002160657,23.565667151259447,376399,50000000,True,1.0765166662319792,-71.70964103097498,14.101771026653658,-74.99264261862916,17.384772614307856,-1.3158089641112247,-1.222283876678673,0.18823816980791916,0.22160029431364792,,
2002,2003,469.1217762659303,18.441983043250218,1,469.1217762659303,19.98111018830615,376399,50000000,True,1.0834577898399735,432.97548950115987,505.2680630307007,429.95880029685026,508.28475223501033,25.437707819476024,23.478263812412266,9.656345582326273e-143,6.80238405808143e-122,***,***
2002,2004,-263.2873544691326,22.70567985868856,2,-263.2873544691326,25.79997117986683,376399,50000000,True,1.1362782942609935,-307.7904869921622,-218.78422194610303,-313.8552979816716,-212.7194109565936,-11.595660473843202,-10.204947619266743,4.335083852969912e-31,1.884227973267314e-24,***,***
2002,2005,105.77921708128726,21.17024173064232,3,105.77921708128726,22.84930274807956,376399,50000000,True,1.0793123214557785,64.28554328922831,147.2728908733462,60.994583695051325,150.5638504675232,4.99659939773762,4.629428663427281,5.835010596316701e-07,3.666760154071556e-06,***,***
2002,2006,405.42380120657197,21.70901911155965,4,405.42380120657197,23.542269059166934,376399,50000000,True,1.0844464661524533,362.87412374791506,447.97347866522887,359.28095385060476,451.56664856253917,18.675362489809192,17.22110133851806,7.85548283527925e-78,1.8444473832121307e-66,***,***
2002,2007,-431.52384346527145,25.90780551493196,5,-431.52384346527145,26.925758876701494,376399,50000000,True,1.039291377310318,-482.3031422745381,-380.7445446560048,-484.2983308636064,-378.7493560669365,-16.656132578136067,-16.02643199180779,2.731243704710829e-62,8.354391262117278e-58,***,***
2002,2008,-397.15853282725044,27.894514082201336,6,-397.15853282725044,28.968066434828884,376399,50000000,True,1.0384861463965256,-451.83178042836505,-342.48528522613583,-453.93594303951505,-340.3811226149858,-14.237872423834963,-13.710218930930743,5.332596566382423e-46,8.819133197245737e-43,***,***
2002,2009,15.109465877354273,22.192272828862077,7,15.109465877354273,22.522834565430692,376399,50000000,True,1.0148953529509022,-28.387388867215392,58.60632062192394,-29.035289870889883,59.25422162559843,0.6808435527930116,0.6708509905118749,0.4959704884695646,0.5023154603179181,,
2002,2010,116.98036462981301,22.280719475143012,8,116.98036462981301,22.510013066318077,376399,50000000,True,1.0102911214977088,73.31015445853271,160.6505748010933,72.86073901982958,161.09999023979645,5.250295654066267,5.19681460357976,1.5185527984773044e-07,2.0273236836369814e-07,***,***
2002,2011,167.0304482464536,22.332576155809917,9,167.0304482464536,22.7906094314889,376399,50000000,True,1.0205096479906024,123.25859898106617,210.80229751184103,122.36085376073535,211.70004273217185,7.47922886643778,7.3289153916030925,7.47599800428835e-14,2.3202280267781993e-13,***,***
