cohort_year,year,event_time,ring,reference_ring,att,se,n_exposed,n_reference,exposed_delta_mean,reference_delta_mean
2002,2001,-1,0_5km,gt_50km,0.0,0.0,3524,466213,0.0,0.0
2002,2001,-1,5_10km,gt_50km,0.0,0.0,4456,466213,0.0,0.0
2002,2001,-1,10_25km,gt_50km,0.0,0.0,18496,466213,0.0,0.0
2002,2001,-1,25_50km,gt_50km,0.0,0.0,44684,466213,0.0,0.0
2002,2002,0,0_5km,gt_50km,319.1801082356854,87.09412959582683,3524,466213,112.16170550323432,-207.01840273245108
2002,2002,0,5_10km,gt_50km,-98.55974322376903,94.88873158285098,4456,466213,-305.5781459562201,-207.01840273245108
2002,2002,0,10_25km,gt_50km,-372.46179669682914,65.49817219166523,18496,466213,-579.4801994292802,-207.01840273245108
2002,2002,0,25_50km,gt_50km,-280.4946422536935,42.95461679633768,44684,466213,-487.51304498614456,-207.01840273245108
2002,2003,1,0_5km,gt_50km,264.0598049310993,80.38573967271938,3524,463576,-361.0229192066398,-625.0827241377391
2002,2003,1,5_10km,gt_50km,-28.52450791796798,77.58020668767287,4456,463576,-653.6072320557071,-625.0827241377391
2002,2003,1,10_25km,gt_50km,-460.9235705385023,62.87677218339965,18496,463576,-1086.0062946762414,-625.0827241377391
2002,2003,1,25_50km,gt_50km,-663.6321142474532,39.79274211409243,44649,463576,-1288.7148383851923,-625.0827241377391
2002,2004,2,0_5km,gt_50km,370.38155755755577,112.76190643220909,3509,463572,546.8953999660231,176.51384240846735
2002,2004,2,5_10km,gt_50km,-429.6864362478339,85.98773195176616,4456,463572,-253.17259383936656,176.51384240846735
2002,2004,2,10_25km,gt_50km,-578.4030733555859,73.43690754981915,18491,463572,-401.8892309471185,176.51384240846735
2002,2004,2,25_50km,gt_50km,-434.8136793208772,49.39390870354311,44641,463572,-258.29983691240983,176.51384240846735
2002,2005,3,0_5km,gt_50km,181.66553444160985,98.75929371431197,3509,435516,78.5285015432486,-103.13703289836124
2002,2005,3,5_10km,gt_50km,-266.38215301124603,86.98261465425743,4456,435516,-369.5191859096073,-103.13703289836124
2002,2005,3,10_25km,gt_50km,-480.6257836922214,74.62730099005128,18485,435516,-583.7628165905826,-103.13703289836124
2002,2005,3,25_50km,gt_50km,-475.26816499495317,44.65728890740085,44614,435516,-578.4051978933144,-103.13703289836124
2002,2006,4,0_5km,gt_50km,234.16518564654848,92.5544377097638,3509,418997,8.478419636175925,-225.68676601037257
2002,2006,4,5_10km,gt_50km,-96.29328862983252,92.30499126937093,4456,418997,-321.9800546402051,-225.68676601037257
2002,2006,4,10_25km,gt_50km,-509.866195219204,69.37450183063469,18482,418997,-735.5529612295766,-225.68676601037257
2002,2006,4,25_50km,gt_50km,-457.48007295303694,44.81056225527965,44344,418997,-683.1668389634095,-225.68676601037257
2002,2007,5,0_5km,gt_50km,-293.2430774190115,116.10025534667291,3239,403506,259.3844937295606,552.6275711485721
2002,2007,5,5_10km,gt_50km,-403.96767142917224,140.59825533943692,4171,403506,148.65989971939982,552.6275711485721
2002,2007,5,10_25km,gt_50km,-620.5338846162241,88.14390593036097,17890,403506,-67.906313467652,552.6275711485721
2002,2007,5,25_50km,gt_50km,-622.019863429335,55.394207101690434,43831,403506,-69.39229228076299,552.6275711485721
2002,2008,6,0_5km,gt_50km,-357.79856245239966,108.42949515540683,3239,368702,137.58375488356623,495.38231733596587
2002,2008,6,5_10km,gt_50km,-571.9560459771129,115.53905976218945,4171,368702,-76.57372864114703,495.38231733596587
2002,2008,6,10_25km,gt_50km,-895.322012744788,77.4721718511378,17890,368702,-399.93969540882216,495.38231733596587
2002,2008,6,25_50km,gt_50km,-1015.7797990120405,50.599977821998024,43732,368702,-520.3974816760746,495.38231733596587
2002,2009,7,0_5km,gt_50km,139.1677401044544,112.19847811629892,3237,332046,310.4390312476131,171.27129114315872
2002,2009,7,5_10km,gt_50km,-46.66720565144176,112.69960598494725,4170,332046,124.60408549171696,171.27129114315872
2002,2009,7,10_25km,gt_50km,-35.69176552552585,89.3104012874685,17866,332046,135.57952561763287,171.27129114315872
2002,2009,7,25_50km,gt_50km,158.90643484034243,59.47786933974309,43619,332046,330.17772598350115,171.27129114315872
2002,2010,8,0_5km,gt_50km,325.84454151841646,116.88889496486803,3237,319552,249.4889031888773,-76.35563832953915
2002,2010,8,5_10km,gt_50km,-168.0259499640493,98.58756416777624,4170,319552,-244.38158829358844,-76.35563832953915
