covariate,n_ever_treated,mean_ever_treated,sd_ever_treated,n_never_treated,mean_never_treated,sd_never_treated,difference,standardized_difference,missing_share
base_m2,4997,57117026.52803402,25583813.958242387,10087,52951363.63806497,28074807.15500592,4165662.8899690434,0.15509833647664714,0.0
forest_loss_pre_years,2660,14.16390977443609,6.91158734414715,10087,13.0,0.0,1.1639097744360907,0.23815324995928824,0.15493237867939538
forest_loss_pre_mean_m2,2660,138758.14148302015,221928.23144081247,10087,148083.46766868522,288911.0969761839,-9325.326185665064,-0.036199949143546725,0.15493237867939538
forest_loss_pre_sd_m2,2660,114524.29536203596,184668.51357741482,10087,118514.0618310783,228300.106552986,-3989.7664690423408,-0.019215421062207073,0.15493237867939538
forest_loss_pre_total_m2,2660,2109361.3653948735,3663571.217797369,10087,1925085.0796929079,3755844.2606903906,184276.28570196568,0.049670229883820326,0.15493237867939538
forest_loss_pre_trend_m2_per_year,2470,-721.570647647188,29230.890870875992,10087,88.2558266796649,26046.821370340323,-809.8264743268529,-0.029251801808852358,0.1675285070273137
