year,ring,reference_ring,hajek_difference,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2015,25_50km,gt_50km,13.748148316693914,28.272033049353016,528480,50000000,True,25,bartlett
2015,5_10km,gt_50km,-271.2104318477981,76.7889095842148,375209,50000000,True,25,bartlett
2016,0_5km,gt_50km,138.01015775052178,224.80798156575358,374052,50000000,True,25,bartlett
2016,10_25km,gt_50km,90.24934194893353,98.94218870632308,531029,50000000,True,25,bartlett
2016,25_50km,gt_50km,368.4191791230328,51.84915948119142,528480,50000000,True,25,bartlett
2016,5_10km,gt_50km,-18.748139133122322,184.5691816211185,375209,50000000,True,25,bartlett
2017,0_5km,gt_50km,-69.28391699005942,215.41328803970995,374052,50000000,True,25,bartlett
2017,10_25km,gt_50km,12.182603216705047,142.04980611602576,531029,50000000,True,25,bartlett
2017,25_50km,gt_50km,195.7568168867133,67.53722905414458,528480,50000000,True,25,bartlett
2017,5_10km,gt_50km,-68.872981731643,205.65586461754344,375209,50000000,True,25,bartlett
2018,0_5km,gt_50km,-693.5937618294774,191.59003296485767,328929,50000000,True,25,bartlett
2018,10_25km,gt_50km,-412.7110485155199,128.18279325754798,490208,50000000,True,25,bartlett
2018,25_50km,gt_50km,27.588968358704733,68.79722700578009,452812,50000000,True,25,bartlett
2018,5_10km,gt_50km,-737.8450403892923,186.4189324438692,326328,50000000,True,25,bartlett
2019,0_5km,gt_50km,-461.5344773876925,139.0635911694384,328930,50000000,True,25,bartlett
2019,10_25km,gt_50km,-103.24984678389751,104.04017288969975,490202,50000000,True,25,bartlett
2019,25_50km,gt_50km,181.5189766044864,52.36957082629019,452812,50000000,True,25,bartlett
2019,5_10km,gt_50km,-453.47485969063996,135.1838328375268,326324,50000000,True,25,bartlett
2020,0_5km,gt_50km,-29.79472229160524,197.94713343286446,317495,50000000,True,25,bartlett
2020,10_25km,gt_50km,370.13272329493907,119.64992470937281,463082,50000000,True,25,bartlett
2020,25_50km,gt_50km,617.8101560606076,66.56337200902425,413598,50000000,True,25,bartlett
2020,5_10km,gt_50km,152.63894058080382,216.64333394416659,310853,50000000,True,25,bartlett
2021,0_5km,gt_50km,268.3602114966618,172.72301797518784,319869,50000000,True,25,bartlett
2021,10_25km,gt_50km,780.5264956599872,121.50557513870369,460304,50000000,True,25,bartlett
2021,25_50km,gt_50km,708.5982731901877,56.74319722380667,402105,50000000,True,25,bartlett
2021,5_10km,gt_50km,380.25289441128575,171.48999962221816,311952,50000000,True,25,bartlett
2022,0_5km,gt_50km,375.15474593176236,153.09684525746061,319869,50000000,True,25,bartlett
2022,10_25km,gt_50km,933.9828206928014,102.36988382854696,460304,50000000,True,25,bartlett
2022,25_50km,gt_50km,874.0586773994605,55.81638204474513,402105,50000000,True,25,bartlett
2022,5_10km,gt_50km,513.1691660876811,168.63342820235303,311952,50000000,True,25,bartlett
2023,0_5km,gt_50km,239.38780971209871,88.90224097383458,319869,50000000,True,25,bartlett
2023,10_25km,gt_50km,581.0767302380582,68.14939904922497,460304,50000000,True,25,bartlett
2023,25_50km,gt_50km,541.7077847547889,42.674001936042444,402105,50000000,True,25,bartlett
2023,5_10km,gt_50km,433.4973031098475,105.27912309820982,311952,50000000,True,25,bartlett
2024,0_5km,gt_50km,493.9450126785539,125.78626918326108,327263,50000000,True,25,bartlett
2024,10_25km,gt_50km,816.3760066909381,69.58339316401157,441486,50000000,True,25,bartlett
2024,25_50km,gt_50km,504.72658060014146,45.33670221504025,371762,50000000,True,25,bartlett
2024,5_10km,gt_50km,669.5269739321081,137.6046666704434,313001,50000000,True,25,bartlett
2025,0_5km,gt_50km,341.6434488669921,88.89538740823198,330255,50000000,True,25,bartlett
2025,10_25km,gt_50km,725.257680107018,75.02166285279894,436882,50000000,True,25,bartlett
2025,25_50km,gt_50km,595.9968845246709,45.71273811914321,365105,50000000,True,25,bartlett
2025,5_10km,gt_50km,487.61707843696115,106.53688788425228,311874,50000000,True,25,bartlett
