covariate_set,group,time,att,se
none,2002,2002,-28.803935002160657,21.890666341231793
none,2002,2003,469.1217762659303,18.441983043250218
none,2002,2004,-263.2873544691326,22.70567985868856
none,2002,2005,105.77921708128726,21.17024173064232
none,2002,2006,405.42380120657197,21.70901911155965
none,2002,2007,-431.52384346527145,25.90780551493196
none,2002,2008,-397.15853282725044,27.894514082201336
none,2002,2009,15.109465877354273,22.192272828862077
none,2002,2010,116.98036462981301,22.280719475143012
none,2002,2011,167.0304482464536,22.332576155809917
none,2002,2012,100.57958161108749,23.9671572664971
none,2002,2013,114.11184448234214,22.54933121625319
none,2002,2014,-262.0382364698421,24.82892095121817
none,2002,2015,129.65329315224912,22.037843373043884
none,2002,2016,-477.71470342324756,66.16916488520278
none,2002,2017,-1434.8370089839525,45.958576407998656
none,2002,2018,-996.4581116970807,32.907411044558984
none,2002,2019,-693.3255627574985,27.89617481184482
none,2002,2020,-1028.9618394319111,39.87812528848488
none,2002,2021,-632.6871607633856,27.415196045583556
none,2002,2022,-495.351630529249,27.625763525783164
none,2002,2023,132.2863974169083,62.67712010888175
none,2002,2024,114.5927004863548,44.76424757182133
none,2002,2025,135.17357261477633,40.08167828883995
none,2003,2002,-5085.867537975688,1784.576371188416
none,2003,2003,241.16393871680907,138.58717039861912
none,2003,2004,237.11228353342116,256.50878211401664
none,2003,2005,591.1784711523179,313.66791507304777
none,2003,2006,319.85748150427605,197.21137311807794
none,2003,2007,-703.7535306987468,146.62069889834686
none,2003,2008,-297.7111551144841,207.60607066889605
none,2003,2009,217.09146988465056,208.10608481420135
none,2003,2010,147.3128994392301,218.3940495232725
none,2003,2011,384.621816329339,268.505447105914
none,2003,2012,3796.544977600153,808.3973553128266
none,2003,2013,-14.683707500089383,147.59248224557297
none,2003,2014,163.15752282581485,359.7552829920715
none,2003,2015,-96.04272852458249,148.515141081545
none,2003,2016,-934.5586020801188,162.30707751137206
none,2003,2017,-1666.932609519347,195.35804037420368
none,2003,2018,-1186.8051669178587,171.58987019431655
none,2003,2019,-680.9350307205639,225.94230312173968
none,2003,2020,-1386.9759639336653,156.76792968080687
none,2003,2021,-814.7773610772244,165.22508150016807
none,2003,2022,-815.7624094716266,144.36868887153133
none,2003,2023,171.01878470734792,395.1800410505981
none,2003,2024,-147.81643441657198,169.86066296398647
none,2003,2025,-180.85534464352907,152.93256599081943
none,2004,2002,-1842.6897231223402,599.6623045285199
none,2004,2003,678.9383359751579,141.19407825959587
none,2004,2004,7.732605341898875,636.8198440435559
none,2004,2005,-55.71237509254496,275.51399086300387
none,2004,2006,330.67611530335796,341.8125909286397
none,2004,2007,-437.70627028222236,353.0128031107528
none,2004,2008,-196.68470367096427,496.9163325194271
none,2004,2009,217.65879468915188,414.69894019319145
none,2004,2010,-271.94630212850825,292.8682212807569
none,2004,2011,196.17290133970494,363.96298279312066
none,2004,2012,833.4532787140276,601.0100972086694
none,2004,2013,-395.83161576001294,207.69813141616132
none,2004,2014,894.1391212216954,1153.0590273635123
none,2004,2015,-409.4352973115389,269.7690944871923
none,2004,2016,-872.7997839795789,482.2011101803761
none,2004,2017,-1065.613006052315,768.3485320427422
none,2004,2018,-1170.7135953532168,225.91607044405006
none,2004,2019,-211.31410375348503,894.9363339859116
none,2004,2020,-1709.196775180883,250.95024648132514
none,2004,2021,-1137.1567927292504,281.1751724489533
none,2004,2022,-1041.1560729918094,264.55785099966374
none,2004,2023,-482.39231577962573,332.4347173720225
none,2004,2024,-709.6500836229729,209.692392765969
none,2004,2025,-409.0842725900935,407.90414295330066
none,2005,2002,430.39207800164957,234.9845223889076
none,2005,2003,15.31733369620406,261.67844611067846
none,2005,2004,-707.9764561691253,129.17959822249944
none,2005,2005,728.730486414727,167.45866630987
none,2005,2006,666.9067407195721,150.40353100817555
none,2005,2007,-61.569240664231515,128.5847752265445
none,2005,2008,-307.33318153556263,116.34839581383154
none,2005,2009,228.9056016966099,117.52079760707997
