group,time,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2002,2002,0,-28.803935002160657,23.565667151259447,376399,50000000,True,25,bartlett
2002,2003,1,469.1217762659303,19.98111018830615,376399,50000000,True,25,bartlett
2002,2004,2,-263.2873544691326,25.79997117986683,376399,50000000,True,25,bartlett
2002,2005,3,105.77921708128726,22.84930274807956,376399,50000000,True,25,bartlett
2002,2006,4,405.42380120657197,23.542269059166934,376399,50000000,True,25,bartlett
2002,2007,5,-431.52384346527145,26.925758876701494,376399,50000000,True,25,bartlett
2002,2008,6,-397.15853282725044,28.968066434828884,376399,50000000,True,25,bartlett
2002,2009,7,15.109465877354273,22.522834565430692,376399,50000000,True,25,bartlett
2002,2010,8,116.98036462981301,22.510013066318077,376399,50000000,True,25,bartlett
2002,2011,9,167.0304482464536,22.7906094314889,376399,50000000,True,25,bartlett
2002,2012,10,100.57958161108749,24.233938890084698,376399,50000000,True,25,bartlett
2002,2013,11,114.11184448234214,22.886936651658182,376399,50000000,True,25,bartlett
2002,2014,12,-262.0382364698421,25.557353397528466,376399,50000000,True,25,bartlett
2002,2015,13,129.65329315224912,22.577726357075203,376399,50000000,True,25,bartlett
2002,2016,14,-477.71470342324756,67.57499072425028,376399,50000000,True,25,bartlett
2002,2017,15,-1434.8370089839525,51.57844401250875,376399,50000000,True,25,bartlett
2002,2018,16,-996.4581116970807,36.2531171514851,376399,50000000,True,25,bartlett
2002,2019,17,-693.3255627574985,51.723990621819794,376399,50000000,True,25,bartlett
2002,2020,18,-1028.9618394319111,43.409428956207265,376399,50000000,True,25,bartlett
2002,2021,19,-632.6871607633856,29.30225441225175,376399,50000000,True,25,bartlett
2002,2022,20,-495.351630529249,29.444544942535227,376399,50000000,True,25,bartlett
2002,2023,21,132.2863974169083,62.89694801178953,376399,50000000,True,25,bartlett
2002,2024,22,114.5927004863548,45.0675588251039,376399,50000000,True,25,bartlett
2002,2025,23,135.17357261477633,40.36200205053075,376399,50000000,True,25,bartlett
2003,2002,-1,0.0,0.0,365198,50000000,True,25,bartlett
2003,2003,0,241.16393871680907,138.2787096769501,365198,50000000,True,25,bartlett
2003,2004,1,237.11228353342116,255.18442787699925,365198,50000000,True,25,bartlett
2003,2005,2,591.1784711523179,312.00311863457125,365198,50000000,True,25,bartlett
2003,2006,3,319.85748150427605,196.44922835248002,365198,50000000,True,25,bartlett
2003,2007,4,-703.7535306987468,146.24323616592486,365198,50000000,True,25,bartlett
2003,2008,5,-297.7111551144841,206.76518373983185,365198,50000000,True,25,bartlett
2003,2009,6,217.09146988465056,207.1033205145636,365198,50000000,True,25,bartlett
2003,2010,7,147.3128994392301,217.39633513933288,365198,50000000,True,25,bartlett
2003,2011,8,384.621816329339,267.21921241058044,365198,50000000,True,25,bartlett
2003,2012,9,3796.544977600153,804.0928771961529,365198,50000000,True,25,bartlett
2003,2013,10,-14.683707500089383,147.1371983005771,365198,50000000,True,25,bartlett
2003,2014,11,163.15752282581485,357.9381802185664,365198,50000000,True,25,bartlett
2003,2015,12,-96.04272852458249,148.09117053643217,365198,50000000,True,25,bartlett
2003,2016,13,-934.5586020801188,162.26826358181404,365198,50000000,True,25,bartlett
2003,2017,14,-1666.932609519347,195.7742236689498,365198,50000000,True,25,bartlett
2003,2018,15,-1186.8051669178587,171.60846372010965,365198,50000000,True,25,bartlett
2003,2019,16,-680.9350307205639,229.15906915809512,365198,50000000,True,25,bartlett
2003,2020,17,-1386.9759639336653,156.96811480752686,365198,50000000,True,25,bartlett
2003,2021,18,-814.7773610772244,164.81468246114997,365198,50000000,True,25,bartlett
2003,2022,19,-815.7624094716266,144.23405769876524,365198,50000000,True,25,bartlett
2003,2023,20,171.01878470734792,393.21193494620906,365198,50000000,True,25,bartlett
2003,2024,21,-147.81643441657198,169.33698266439671,365198,50000000,True,25,bartlett
2003,2025,22,-180.85534464352907,152.50375426546236,365198,50000000,True,25,bartlett
2004,2002,-2,-678.9383359751579,139.9096401204669,365146,50000000,True,25,bartlett
2004,2003,-1,0.0,0.0,365146,50000000,True,25,bartlett
2004,2004,0,7.732605341898875,629.1781502324352,365146,50000000,True,25,bartlett
2004,2005,1,-55.71237509254496,272.2675992656019,365146,50000000,True,25,bartlett
2004,2006,2,330.67611530335796,337.7229277988846,365146,50000000,True,25,bartlett
2004,2007,3,-437.70627028222236,348.97460512352,365146,50000000,True,25,bartlett
2004,2008,4,-196.68470367096427,491.0447902485375,365146,50000000,True,25,bartlett
2004,2009,5,217.65879468915188,409.70004883228876,365146,50000000,True,25,bartlett
2004,2010,6,-271.94630212850825,289.3672068712515,365146,50000000,True,25,bartlett
2004,2011,7,196.17290133970494,359.567882303696,365146,50000000,True,25,bartlett
2004,2012,8,833.4532787140276,593.6981258400181,365146,50000000,True,25,bartlett
2004,2013,9,-395.83161576001294,205.25727894026502,365146,50000000,True,25,bartlett
2004,2014,10,894.1391212216954,1138.976735322922,365146,50000000,True,25,bartlett
2004,2015,11,-409.4352973115389,266.5653241237474,365146,50000000,True,25,bartlett
2004,2016,12,-872.7997839795789,476.6692669519059,365146,50000000,True,25,bartlett
