covariate_set,group,time,att,se,att_csdid,se_csdid,att_difference_diffdiff_minus_csdid
none,2002,2002,-28.803935002160657,21.890666341231793,-28.8039,21.8904,-3.5002160657882087e-05
none,2002,2003,469.1217762659303,18.441983043250218,469.1218,18.4417,-2.373406971400982e-05
none,2002,2004,-263.2873544691326,22.70567985868856,-263.2874,22.7054,4.553086739633727e-05
none,2002,2005,105.77921708128726,21.17024173064232,105.7792,21.17,1.7081287253972732e-05
none,2002,2006,405.42380120657197,21.70901911155965,405.4238,21.7086,1.2065719374731998e-06
none,2002,2007,-431.52384346527145,25.90780551493196,-431.5238,25.9076,-4.3465271460263466e-05
none,2002,2008,-397.15853282725044,27.894514082201336,-397.1585,27.8942,-3.282725043618484e-05
none,2002,2009,15.109465877354273,22.192272828862077,15.1095,22.192,-3.4122645727663325e-05
none,2002,2010,116.98036462981301,22.280719475143012,116.9804,22.2804,-3.537018699262262e-05
none,2002,2011,167.0304482464536,22.332576155809917,167.0304,22.3323,4.82464536162297e-05
none,2002,2012,100.57958161108749,23.9671572664971,100.5796,23.9668,-1.838891250827146e-05
none,2002,2013,114.11184448234214,22.54933121625319,114.1118,22.5491,4.448234213327851e-05
none,2002,2014,-262.0382364698421,24.82892095121817,-262.0382,24.8287,-3.646984208671711e-05
none,2002,2015,129.65329315224912,22.037843373043884,129.6533,22.0376,-6.8477508818887145e-06
none,2002,2016,-477.71470342324756,66.16916488520278,-477.7147,66.1668,-3.4232475627504755e-06
none,2002,2017,-1434.8370089839525,45.958576407998656,-1434.837,45.9575,-8.98395251169859e-06
none,2002,2018,-996.4581116970807,32.907411044558984,-996.4581,32.9071,-1.169708070847264e-05
none,2002,2019,-693.3255627574985,27.89617481184482,-693.3256,27.896,3.7242501548462315e-05
none,2002,2020,-1028.9618394319111,39.87812528848488,-1028.9618,39.8774,-3.9431911091014626e-05
none,2002,2021,-632.6871607633856,27.415196045583556,-632.6872,27.415,3.9236614384208224e-05
none,2002,2022,-495.351630529249,27.625763525783164,-495.3516,27.6255,-3.0529248988386826e-05
none,2002,2023,132.2863974169083,62.67712010888175,132.2864,62.6747,-2.5830916854374664e-06
none,2002,2024,114.5927004863548,44.76424757182133,114.5927,44.7628,4.86354807094358e-07
none,2002,2025,135.17357261477633,40.08167828883995,135.1736,40.0804,-2.738522366030338e-05
none,2003,2002,-5085.867537975688,1784.576371188416,-5085.8675,1774.9589,-3.7975687519065104e-05
none,2003,2003,241.16393871680907,138.58717039861912,241.1639,137.8518,3.871680905831454e-05
none,2003,2004,237.11228353342116,256.50878211401664,237.1123,255.1348,-1.6466578841800583e-05
none,2003,2005,591.1784711523179,313.66791507304777,591.1785,311.9834,-2.8847682074228942e-05
none,2003,2006,319.85748150427605,197.21137311807794,319.8575,196.1578,-1.8495723963951605e-05
none,2003,2007,-703.7535306987468,146.62069889834686,-703.7535,145.8512,-3.069874674110906e-05
none,2003,2008,-297.7111551144841,207.60607066889605,-297.7112,206.5033,4.488551593340162e-05
none,2003,2009,217.09146988465056,208.10608481420135,217.0915,206.9951,-3.0115349431980576e-05
none,2003,2010,147.3128994392301,218.3940495232725,147.3129,217.2267,-5.607699051779491e-07
none,2003,2011,384.621816329339,268.505447105914,384.6218,267.0668,1.632933901873912e-05
none,2003,2012,3796.544977600153,808.3973553128266,3796.545,804.0431,-2.239984723928501e-05
none,2003,2013,-14.683707500089383,147.59248224557297,-14.6837,146.8138,-7.5000893833276905e-06
