ring,mean_ht_difference,mean_hajek_difference,p25_hajek_difference,p75_hajek_difference,n_years,mean_n_ring
0_5km,35.5110211685042,35.511021168504165,-171.72226381927453,268.3602114966618,25,98988.32
10_25km,220.5279984123798,220.5279984123799,-69.45418609249009,390.9541924654493,25,242182.56
25_50km,227.8469790081339,227.84697900813396,-17.127801600869134,413.9937264801313,25,246287.6
5_10km,97.55049021466422,97.5504902146642,-133.7116617085385,380.25289441128575,25,97813.88
