support_name,k,all_edges_p50_km,all_edges_p90_km,all_edges_p95_km,all_edges_p99_km,all_edges_max_km,kth_neighbor_p50_km,kth_neighbor_p90_km,kth_neighbor_p95_km,kth_neighbor_p99_km,kth_neighbor_max_km,share_cells_kth_neighbor_gt_5km,share_cells_kth_neighbor_gt_10km,share_cells_kth_neighbor_gt_25km
knn_k04,4,1.0961637001717464,1.145281229477696,1.1458142505829747,1.146004087387555,40.975574356101774,1.1411907795534353,1.1458234760613997,1.1459636209484525,1.146010090810601,40.975574356101774,1.4654945009473991e-05,7.758500299133289e-06,3.4482223551703508e-06
knn_k08,8,1.3973818239819307,1.436296258143205,1.436717867798345,1.4368662137269552,42.26812600433186,1.4330661780454872,1.4367251367600238,1.4368368427510307,1.4368705585516346,42.26812600433186,2.4999612074985045e-05,7.758500299133289e-06,3.4482223551703508e-06
knn_k16,16,1.7335020051412284,2.263717225066852,2.287238854355237,2.291900478181713,44.61115938170311,2.282633452486305,2.291695386824984,2.29195828610078,2.448126011497514,44.61115938170311,6.896444710340702e-05,1.9827278542229516e-05,3.4482223551703508e-06
