ring,att,se,n_cohort_years,mean_n_exposed,mean_n_reference,ci_low,ci_high
0_5km,-304.7742394622695,73.39248546241703,146,7228.842465753424,282516.6369863014,-448.62351096860687,-160.92496795593215
10_25km,-400.93962484103145,60.71299663867024,146,44924.40410958904,282516.6369863014,-519.9370982528251,-281.9421514292378
25_50km,-323.91381349955253,59.706988394001186,146,86779.07534246576,282516.6369863014,-440.93951075179484,-206.88811624731022
5_10km,-338.38435939624776,72.82604828863747,146,11032.945205479453,282516.6369863014,-481.1234140419772,-195.64530475051833
